Adama Brasil S.A. - Londrina/PR. | Marca comercial: Clorotalonil Técnico Adama Brasil. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico equivalente clone.
Nufarm Indústria Química e Farmacêutica S.A. -Maracanaú/CE. | Marca comercial: Tebuconazole Técnico Nufarm BR. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico equivalente clone.
Rainbow Defensivos Agrícolas Ltda. - Porto Alegre/RS. | Marca comercial: Propanil Técnico Rainbow.
Dow Agrosciences Industrial Ltda. - São Paulo/SP. | Marca comercial: Enlist Colex-D. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de milho e soja.
Dow Agrosciences Industrial Ltda. - São Paulo/SP. | Marca comercial: Agrilist. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de milho e soja.
Indofil Industries do Brasil Ltda. - Barueri/SP. | Marca comercial: Xopotó 800 WP. | Classificação toxicológica: Classe III - Extremamente Tóxico. | Indicado para as culturas de abóbora, alho, amendoim, arroz, batata, berinjela, beterraba, brócolis, café, cebola, [1/2]
Cropchem Ltda. - Porto Alegre/RS. | Marca comercial: Kasan 800 WP. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de abóbora, alho, amendoim, arroz, batata, berinjela, beterraba, brócolis, café, cebola, cenoura, cevada, [1/2]
Fersol Indústria e Comércio S.A. - Mairinque/SP. | Marca comercial: Atrazina Fersol 500 SC. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de cana-de-açúcar, milho e sorgo.
Nufarm Indústria Química e Farmacêutica S.A. -Maracanaú/CE. | Marca comercial: Nippon. | Classificação toxicológica: Classe II - Altamente Tóxico. | Indicado para a cultura do milho.
Adama Brasil S.A. - Londrina/PR. | Marca comercial: Comissário. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de algodão, feijão, melão, milho, soja, tomate e trigo.
Yonon Biociências e Defensivos Agrícolas Ltda. - São Paulo/SP. | Marca comercial: Tiametoxam Técnico YNG. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico equivalente.
FMC Química do Brasil Ltda. - Campinas/SP. | Marca comercial: Tiofanato Metílico Técnico FMC. | Classificação toxicológica: Classe IV - Pouco Tóxico. | Trata-se de produto técnico equivalente clone.
Biorisk - Assessoria e Comércio de Produtos Agrícolas Ltda. - São Paulo/SP. | Marca comercial: Acefato Técnico GSP. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico equivalente clone.
Tradecorp do Brasil Comércio de insumos Agrícolas Ltda. - Campinas/SP. | Marca comercial: Lousal. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de algodão, alho, amendoim, arroz, banana, batata, berinjela, café, cebola, [1/2]
Ouro Fino Química S.A. - Uberaba/MG. | Marca comercial: Acetamiprido 200 SP OF. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de algodão, batata, feijão, tomate e trigo.
CCAB Agro S.A. - São Paulo/SP. | Marca comercial: Atrazina CCAB 500 SC. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de cana-de-açúcar, milho e sorgo.
Syngenta Proteção de Cultivos Ltda. - São Paulo/SP. | Marca comercial: Calaris. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de cana-de-açúcar e milho.
Volcano Agrociência Indústria e Comércio de Defensivos | Marca comercial: Cartarys. | Indicado para as culturas de Algodão, Batata, Café, Couve, DiarioOficialdaUniao | Classificação toxicológica: Classe II - Altamente Tóxico.
Tradecorp do Brasil Comércio de Insumos Agrícolas Ltda. -Campinas/SP. | Marca comercial: Davos. | Indicado para as culturas de Algodão, Milho e Soja. | Classificação toxicológica: Classe II - Altamente Tóxico.
Albaugh Agro Brasil Ltda. - São Paulo/SP. | Marca comercial: Exemplo. | Indicado para as culturas de Arroz, Arroz irrigado, Café, Cana-deaçúcar, Milho, Pastagem, Soja e Trigo. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Agro Import do Brasil Ltda. - Porto Alegre/RS. | Marca comercial: Atrazina Agro Import. | Indicado para as culturas de Cana-de-açúcar, Milho e Sorgo. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Rainbow Defensivos Agrícolas Ltda. - Porto Alegre/RS. | Marca comercial: Rainburon. | Indicado para as culturas de Abacaxi, Algodão, Cacau, Café, Canade-açúcar e Citros. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Rainbow Defensivos Agrícolas Ltda. - Porto Alegre/RS. | Marca comercial: Trilla. | Indicado para as culturas de Abacaxi, Algodão, Cacau, Café, Canade-açúcar e Citros. | Classificação toxicológica: Classe III - Medianamente Tóxico.
AllierBrasil Agro Ltda. - São Paulo/SP. | Marca comercial: Captain 500 WP. | Indicado para as culturas de Alho, Batata, Cebola, Citros, Maçã, Melancia, Melão, Pepino, Pêssego, Tomate e Uva. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Ballagro Agro Tecnologia Ltda. - Bom Jesus dos Perdões/SP. | Marca comercial: BF30.001. | Indicado para qualquer cultura com ocorrência dos alvos biológicos Rizoctonia solani e Sclerotinia sclerotiorum. | Classificação toxicológica: Classe IV - Produto Pouco Tóxico.
TZ Biotech Ltda. - Ribeirão Preto/SP. | Marca comercial: Metarhryd FR 25. | Indicado para qualquer cultura com ocorrência do alvo biológico Mahanarva fimbriolata. | Classificação toxicológica: Classe IV - Pouco Tóxico.
Maçã, Manga, Melão, Milho, Pepino, Pimentão, Rosa, Soja, Sorgo, Tomate e Trigo. | Classificação: Classe III - Medianamente Tóxico [2/2]
Basf S.A. - São Paulo/SP. | Marca comercial: Veldara. | Indicado para as culturas de Algodão, Amendoim, Aveia, Batata, Cana-de-açúcar, Cebola, Citros, Crisântemo, Feijão, Girassol [1/2]
Rainbow Defensivos Agrícolas Ltda. - Porto Alegre/RS. | Marca comercial: Diuron 500 SC Rainbow. | Indicado para as culturas de Abacaxi, Algodão, Cacau, Café, Canade-açúcar e Citros. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Ferbru Participações S.A. - Campinas/SP. | Marca comercial: Cyproconazole Técnico FB. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Adama Brasil S. A. - Londrina/PR. | Marca comercial: Imazapique Técnico Mil. | Trata-se de produto técnico. | Classificação toxicológica: Classe II - Altamente Tóxico.
CCAB Agro S.A. - São Paulo/SP. | Marca comercial: Imazetapir Técnico CCAB. | Trata-se de produto técnico. | Classificação toxicológica: Classe II - Altamente Tóxico.
BRA Defensivos Agrícolas Ltda. - Piracicaba/SP. | Marca comercial: Lufenurom Técnico NS BRA. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Sulphur Mills do Brasil Importação e Exportação de Produtos Agrícolas Ltda. - São Paulo/SP. | Marca comercial: Imidacloprid Técnico Sulphur Mills. | Trata-se de produto técnico. | Classificação toxicológica: Classe II - Altamente Tóxico.
Proregistros Registros de Produtos Ltda. - Porto Alegre/RS. | Marca comercial: Tebuthiuron Técnico Lier. | Trata-se de produto técnico. | Classificação toxicológica: Classe II - Altamente Tóxico.
Iharabrás S.A. Industriais Químicas. - Sorocaba/SP. | Marca comercial: Novaluron Técnico Ihara. | Trata-se de produto técnico. | Classificação toxicológica: Classe IV - Pouco Tóxico.
Albaugh Agro Brasil Ltda. - São Paulo/SP. | Marca comercial: Imidacloprido Técnico Atanor III. | Trata-se de produto técnico. | Classificação toxicológica: Classe II - Altamente Tóxico.
Biorisk Assessoria e Comercio de Produtos Agrícolas Ltda. - São Paulo/SP. | Marca comercial: Fysium. | Indicado para a cultura da Maçã. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Syngenta Proteção de Cultivos Ltda. - São Paulo/SP. | Marca comercial: Maxim Quattro. | Indicado para as culturas de Milho e Soja. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Adama Brasil S.A. - Londrina/PR. | Marca comercial: Bucanero. | Indicado para as culturas de Algodão, Arroz, Batata, Café, Citros, Feijão, Milho, Soja, Tomate e Trigo. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Isagro Brasil Comércio de Produtos Agroquímicos Ltda. - São Paulo/SP. | Marca comercial: Airone Scudo. | Indicado para a cultura da Soja. | Classificação toxicológica: Classe III - Mediante Tóxico.
Isagro Brasil Comércio de Produtos Agroquímicos Ltda. - São Paulo/SP. | Marca comercial: Airone Inox. | Indicado para a cultura da Soja. | Classificação toxicológica: Classe III - Mediante Tóxico.
Plurie Soluções Regulatórias Ltda. - São Paulo/SP. | Marca comercial: Invict. | Indicado para as culturas de Algodão, Café, Cana-de-açúcar, Cevada, Girassol, Milho, Soja e Trigo. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Syngenta Proteção de Cultivos Ltda. - São Paulo/SP. | Marca comercial: Switch. | Indicado para as culturas de Alface, Algodão, Alho, Cebola, Citros, Feijão, Girassol, Morango, Pêssego, Rosa, Soja, Tomate e Uva. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Arysta Lifescience do Brasil Indústria Química e Agropecuária S.A. - São Paulo/SP. | Marca comercial: Celebrate. | Indicado para as culturas de Algodão e Soja. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Nufarm Indústria Química e Farmacêutica S.A. -Maracanaú/CE | Marca comercial: Natucontrol | Indicado para culturas com ocorrência dos alvos biológicos Rhizoctonia solani, Fusarium solani f. sp. Phaseoli e Sclerotinia sclerotiorum | Classificação: Classe III - Medianamente Tóxico
Biovalens Ltda. - Uberaba/MG. | Marca comercial: Bio-Hulk. | Indicado para qualquer cultura com ocorrência do alvo biológico Rhizoctonia solani. | Classificação toxicológica: Classe IV - Pouco Tóxico.
Nortox S.A. - Arapongas/PR. | Marca comercial: Piriproxifen Nortox. | Indicado para as culturas de Algodão, Berinjela, Café, Citros, Feijão, Gérbera, Maçã, Melancia, Melão, Pepino, Repolho, Rosa, Soja, Tomate e Uva. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Biovalens Ltda. - Uberaba/MG. | Marca comercial: BT-Turbo Max. | Indicado para qualquer cultura com ocorrência do alvo biológico Chrysodeixis includens. | Classificação toxicológica: Classe IV - Pouco Tóxico.
Sumitomo Chemical do Brasil Representações Ltda. - São Paulo/SP. | Marca comercial: Epingle 100 EW. | Indicado para as culturas de Algodão, Citros, Melão, Soja e Tomate. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Sumitomo Chemical do Brasil Representações Ltda. - São Paulo/SP. | Marca comercial: Fielder 100 EW. | Indicado para as culturas de Algodão, Citros, Melão, Soja e Tomate. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Plurie Soluções Regulatórias Ltda. - São Paulo/SP. | Marca comercial: Sorba. | Indicado para as culturas de Algodão, Batata, Cana-de-açúcar, Citros, Côco, Maçã, Milho, Pepino, Pêssego, Repolho, Soja, Tomate e Trigo. | Classificação toxicológica: Classe IV - Pouco Tóxico.
Plurie Soluções Regulatórias Ltda. - São Paulo/SP. | Marca comercial: Fuoro. | Indicado para as culturas de Algodão, Batata, Cana-de-açúcar, Citros, Côco, Maçã, Milho, Pepino, Pêssego, Repolho, Soja, Tomate e Trigo. | Classificação toxicológica: Classe IV - Pouco Tóxico.
Lemma Consultoria e Apoio Administrativo, Agronegócios, Importação e Exportação Ltda. - Campinas/SP. | Marca comercial: Cyproconazole Técnico Sino-Agri. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Nortox S.A. - Arapongas/PR. | Marca comercial: Imazapic Técnico Nortox. | Trata-se de produto técnico. | Classificação toxicológica: Classe II - Altamente tóxico.
Cropchem Ltda. - Porto Alegre/RS. | Marca comercial: Imazapique Técnico Cropchem. | Trata-se de produto técnico. | Classificação toxicológica: Classe II - Altamente tóxico.
Adama Brasil S.A. - Londrina/PR. | Marca comercial: Imazapique Técnico Adama. | Trata-se de produto técnico. | Classificação toxicológica: Classe II - Altamente tóxico.
CCAB Agro S.A. - São Paulo/SP. | Marca comercial: Diquat CCAB 200 SL. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de Batata (dessecante), Café, Citros, Feijão, Feijão (dessecante), Soja e Soja (dessecante).
Ouro Fino Química Ltda. - Uberaba/MG. | Marca comercial: Tebutiurom Técnico OF. | Trata-se de produto técnico. | Classificação toxicológica: Classe II - Altamente tóxico.
Rainbow Defensivos Agrícolas Ltda. - Porto Alegre/RS. | Marca comercial: Tebuthiuron Técnico Rainbow. | Trata-se de produto técnico. | Classificação toxicológica: Classe II - Altamente Tóxico.
Alta - América Latina Tecnologia Agrícola Ltda. -Curitiba/PR. | Marca comercial: Tebutiurom Técnico Alta III. | Trata-se de produto técnico. | Classificação toxicológica: Classe II - Altamente Tóxico.
Lemma Consultoria e Apoio Administrativo, Agronegócios, Importação e Exportação Ltda. - Campinas/SP. | Marca comercial: Glyphosate Técnico Sino-Agri. | Trata-se de produto técnico. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Rainbow Defensivos Agrícolas Ltda. - Porto Alegre/RS. | Marca comercial: Glufosinato de Amônio Técnico Rainbow. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Alta - América Latina Tecnologia Agrícola Ltda. -Curitiba/PR. | Marca comercial: Fomesafem Técnico Alta. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
BRA Defensivos Agrícolas Ltda. - São Paulo/SP. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Tradecorp do Brasil Comércio de Insumos Agrícolas Ltda. - Campinas/SP. | Marca comercial: Clorpirifós Tradecorp Técnico II. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Adama Brasil S.A. - Londrina/PR. | Marca comercial: Glufosinato de Amônio Técnico Adama. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Sinon do Brasil Ltda. - Porto Alegre/RS. | Marca comercial: Glufosinato de Amônio Técnico Sinon. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
AllierBrasil Agro Ltda. - São Paulo/SP. | Marca comercial: Diflubenzuron Técnico SH. | Trata-se de produto técnico. | Classificação toxicológica: Classe II - Altamente Tóxico.
TZ Biotech Ltda. - ME - Ribeirão Preto/SP. | Marca comercial: Purpureonyd FR 25. | Indicado para qualquer cultura com ocorrência do alvo biológico Meloidogyne incógnita. | Classificação toxicológica: Classe IV - Pouco Tóxico.
Sumitomo Chemical do Brasil Representações Ltda. - São Paulo/SP. | Marca comercial: Cordial 100 EW. | Indicado para as culturas de Algodão, Citros, Melão, Soja e Tomate. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Sumitomo Chemical do Brasil Representações Ltda. - São Paulo/SP. | Marca comercial: Admiral 100 EW. | Indicado para as culturas de Algodão, Citros, Melão, Soja e Tomate. | Classificação toxicológica: Classe III - Medianamente Tóxico.
TZ Biotech Ltda. - ME - Ribeirão Preto/SP. | Marca comercial: Trychonyd FR 25. | Indicado para qualquer cultura com ocorrência do alvo biológico Sclerotínia sclerotiorum. | Classificação toxicológica: Classe IV - Pouco Tóxico.
Sipcam Nichino Brasil S.A. - Uberaba/MG. | Marca comercial: Difenoconazole Técnico SUP. | Trata-se de produto técnico. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Nortox S.A. - Arapongas/PR. | Marca comercial: 2,4-D Técnico Nortox CH. | Trata-se de produto técnico. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Alta - América Latina Tecnologia Agrícola Ltda. -Curitiba/PR. | Marca comercial: 2,4-D Técnico Alta II.
BRA Defensivos Agrícolas Co. Ltda. -Piracicaba/SP. | Marca comercial: Clorotalonil Técnico BRA. | Trata-se de produto técnico. | Classificação toxicológica: Classe I - Extremamente Tóxico.
CCAB Agro S.A. - São Paulo/SP. | Marca comercial: Difenoconazol Técnico CCAB. | Trata-se de produto técnico. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Plurie Soluções Regulatórias Ltda. - São Paulo/SP. | Indicado para as culturas de Begônia, Gérbera, Kalanchoe e Rosa. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Tradecorp do Brasil Comércio de Insumos Agrícolas Ltda. - Campinas/SP. | Marca comercial: Paclo BR. | Indicado para a cultura da Manga. | Classificação toxicológica: Classe IV - Pouco Tóxico.
Helm do Brasil Mercantil Ltda. São Paulo/SP. | Marca comercial: Sensei. | Indicado para as culturas de Algodão, Citros, Feijão, Soja e Tomate. | Classificação toxicológica: Classe III - Medianamente Tóxico.
FMC Química do Brasil Ltda. - Campinas/SP. | Marca comercial: Indoxacarbe 150 EC. | Indicado para as culturas de Algodão, Milho e Soja. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Rotam do Brasil Agroquímica e Produtos Agrícolas Ltda. - Campinas/SP. | Marca comercial: Abamectin Técnico RDB. | Trata-se de produto técnico. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Rainbow Defensivos Agrícolas Ltda. - Porto Alegre/RS. | Marca comercial: Soyaguard XTRA. | Indicado para as culturas de Feijão e Soja. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Syngenta Proteção de Cultivos Ltda. - São Paulo/SP. | Marca comercial: Avicta 500 FS PRO. | Indicado para as culturas de Algodão, Cana-de-açúcar, Milho e Soja. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Adama Brasil S.A. - Londrina/PR. | Marca comercial: Voraz EC. | Indicado para as culturas de Algodão, Batata, Café, Feijão, Milho, Soja e Trigo. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Arysta Lifescience do Brasil Indústria Química e Agropecuária S.A. - São Paulo/SP. | Marca comercial: Agile. | Indicado para as culturas de Eucalipto e Pinus. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Nufarm Indústria Química e Farmacêutica S.A. -Maracanaú/CE. | Marca comercial: Tamiz. | Indicado para as culturas de Algodão, Arroz irrigado, Café, Cana-de-açúcar, Feijão, Milho, Soja e Trigo. | Classificação toxicológica: Classe I - Extremamente Tóxico.
BRA Defensivos Agrícolas Ltda. - Piracicaba/SP. | Marca comercial: Zardo. | Indicado para as culturas de Arroz, Café, Cana-de-açúcar, Milho, Pastagem, Soja e Trigo. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Agroimport do Brasil Ltda. Porto Alegre/RS | Marca comercial: Topatudo | Indicado para as culturas de Ameixa, Arroz, Banana, Café, Cana-de-açúcar, Citros, Eucalipto, Maçã, Milho, Nectarina, Pêra, Pêssego, Pastagem, Pinus, Soja, Trigo e Uva | Classe I - Extremamente Tóxico
Sumitomo Chemical do Brasil Representações Ltda. São Paulo/SP. | Marca comercial: Tiger 100 EW. | Indicado para as culturas de Algodão, Citros, Melão, Soja e Tomate. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Syngenta Proteção de Cultivos Ltda. - São Paulo/SP. | Indicado para as culturas de Milho e Soja. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Cropchem Ltda. - Porto Alegre/RS. | Marca comercial: Taura 200 EC. | Indicado para as culturas de Algodão, Berinjela, Café, Citros, Feijão, Gérbera, Maçã, Melancia, Melão, Pepino, Repolho, Rosa, Soja, Tomate e Uva. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Cropchem Ltda. - Porto Alegre/RS. | Marca comercial: Kasan Max 750 WG. | Indicado para as culturas de Algodão, Arroz, Banana, Batata, Citros, Feijão, Maçã, Milho, Soja, Tomate e Uva. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Monsanto do Brasil Ltda. - São Paulo/SP. | Marca comercial: Decisive. | Indicado para as culturas de Algodão, Arroz irrigado, Café, Cana-de-açúcar, Citros, Eucalipto, Milho, Soja, Soja geneticamente modificada e Trigo. | Classificação toxicológica: Classe II - Altamente Tóxico.
Monsanto do Brasil Ltda. - São Paulo/SP. | Marca comercial Roundup Original Mais | Indicado para as culturas de Algodão, Arroz irrigado, Café, Cana-de-açúcar, Citros, Eucalipto, Milho, Soja, Soja geneticamente modificada e Trigo | Classificação: Classe II - Altamente Tóxico
Nortox S.A. - Arapongas/PR. | Marca comercial: Metribuzim Técnico Nortox. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Helm do Brasil Mercantil Ltda. - São Paulo/SP. | Marca comercial: Diquat ZF Técnico Helm. | Trata-se de produto técnico. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Yonon Biociências e Defensivos Agrícolas Ltda. - São Paulo/SP. | Marca comercial: Azoxystrobin Técnico YNG. | Trata-se de produto técnico. | Classificação toxicológica: Classe II - Altamente Tóxico.
Plurie Soluções Regulatórias Ltda. - São Paulo/SP. | Marca comercial: Inssimo. | Indicado para as culturas de Crisântemo e Eucalipto. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Helm do Brasil Mercantil Ltda. - São Paulo/SP. | Marca comercial: Sulfentrazone OL Técnico Helm. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
AllierBrasil Agro Ltda. - São Paulo/SP. | Marca comercial: Olasul Técnico. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Iharabras S.A. Indústrias Químicas. Sorocaba/SP. | Marca comercial: Sulfentrazona Técnico IS. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Sipcam Nichino Brasil S.A. - Uberaba/MG. | Marca comercial: Difenoconazole Técnico SNB. | Trata-se de produto técnico. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Helm do Brasil Mercantil Ltda. - São Paulo/SP. | Marca comercial: Difenoconazole JS Técnico Helm. | Trata-se de produto técnico. | Classificação toxicológica: Classe I - Extremamente Tóxico.
AllierBrasil Agro Ltda. - São Paulo/SP. | Marca comercial: Delta Técnico. | Trata-se de produto técnico. | Classificação toxicológica: Classe II- Produto Altamente Tóxico.
Dow AgroSciences Industrial Ltda. - São Paulo/SP. | Marca comercial: Sulfoxaflor Técnico. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Rotam do Brasil Agroquímica e Produtos Agrícolas Ltda. - Campinas/SP. | Marca comercial: Sulfentrazone Técnico Rotam. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Nortox S.A. - Arapongas/PR. | Marca comercial: Sulfentrazone Técnico Nortox. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Sulphur Mills do Brasil Importação e Exportação de Produtos Agrícolas Ltda. - São Paulo/SP. | Marca comercial: Clorpirifós Técnico Sulphur Mills. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
FMC Química do Brasil Ltda. - Campinas/SP. | Marca comercial: Clorpirifós Técnico Cheminova GH. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Tradecorp do Brasil Comércio de Insumos Agrícolas Ltda. - Campinas/SP. | Marca comercial: Sulfentrazona Tradecorp Técnico. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Volcano Agrociência Indústria e Comércio de Defensivos Agrícolas Ltda. - São Paulo/SP. | Marca comercial: Metomil Técnico Volcano. | Trata-se de produto técnico. | Classificação toxicológica: Classe I - Extremamente Tóxico.
Ouro Fino Química Ltda. - Uberaba/MG. | Marca comercial: Clomazone 500 EC OF. | Indicado para as culturas de Cana-de-açúcar e Soja. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Cosmopolites sordidus, Tetranychus urticae e Dalbulus maidis. | Classificação toxicológica: Classe IV - Pouco Tóxico. [2/2]
Excellence Indústria e Comercio de Produtos Biológicos Ltda. - Aparecida de Goiânia/GO. | Marca comercial: Excellence Mig-66. | Indicado para qualquer cultura com ocorrência dos alvos biológicos Bemisia tabaci raça B [1/2]
Plurie Soluções Regulatórias Ltda. - São Paulo/SP. | Marca comercial: Damast. | Indicado para culturas de Algodão, Amendoim, Arroz irrigado, Aveia, Café, Cevada, Citros, Eucalipto, Girassol, Milho, Soja e Trigo. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda. - Foz do Iguaçu/PR. | Marca comercial: Fipronil 250 FS Genbra. | Indicado para culturas de Algodão, Arroz, Cevada, Feijão, Milho, Pastagens, Soja e Trigo. | Classificação toxicológica: Classe III - Medianamente Tóxico.
UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Ituverava/SP. | Marca comercial: Paclobutrazol 250 SC UPL. | Indicado para a cultura da Manga. | Classificação toxicológica: Classe IV - Pouco Tóxico.
Proventis Lifescience Defensivos Agrícolas Ltda. -São Paulo/SP. | Marca comercial: Diafentiuron 500 SC Proventis. | Indicado para as culturas de Algodão, Café, Feijão, Soja e Tomate. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Nortox S.A. - Arapongas/PR. | Marca comercial: Flutriafol Nortox. | Algodão, Aveia, Banana, Batata, Café, Feijão, Mamão, Melão, Soja e Tomate. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Ouro Fino Química Ltda. - Uberaba/MG. | Marca comercial: Mojjave. | Indicado para culturas de Algodão, Arroz, Café, Cana de-açúcar, Citros, Eucalipto, Feijão, Maçã, Milho, Pastagens, Pinus, Soja, Soja geneticamente modificada, Trigo e Uva. | Classificação toxicológica: Classe III
Tradecorp do Brasil Comércio de Insumos Agrícolas Ltda. - Campinas/SP. | Marca comercial: Torero. | Indicado para as culturas de Batata, Cebola, Tomate e Uva. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Biovalens Ltda. - Uberaba/MG. | Marca comercial: Bio-Imune. | Em qualquer cultura com ocorrência do alvo biológico Alternaria solani. | Classificação toxicológica: Classe IV - Pouco Tóxico.
Proventis Lifescience Defensivos Agrícolas Ltda. -São Paulo/SP. | Marca comercial: Imazetapir Técnico Proventis. | Trata-se de produto técnico. | Classificação toxicológica: Classe II - Altamente Tóxico.
Helm do Brasil Mercantil Ltda. - São Paulo/SP. | Marca comercial: Imazetapir N Técnico Helm. | Trata-se de produto técnico. | Classificação toxicológica: Classe II - Altamente Tóxico.
Adama Brasil S.A. - Londrina/PR. | Marca comercial: Imazetapir Técnico Mil. | Trata-se de produto técnico. | Classificação toxicológica: Classe II - Altamente Tóxico.
Tradecorp do Brasil Comércio de Insumos Agrícolas Ltda. - Campinas/SP. | Marca comercial: Imazetapir Sapec Técnico. | Trata-se de produto técnico. | Classificação toxicológica: Classe II - Altamente Tóxico.
Helm do Brasil Mercantil Ltda. - São Paulo/SP. | Marca comercial: Nicosulfuron Técnico R Helm. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Stockton-Agrimor do Brasil Ltda. - São Paulo/SP. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Tradecorp do Brasil Comércio de Insumos Agrícolas Ltda. - Campinas/SP. | Marca comercial: Nicosulfuron Sapec Técnico II. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
CCAB Agro S.A. - São Paulo/SP. | Marca comercial: Cloreto de Mepiquate Técnico CCAB. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Cropchem Ltda. - Porto Alegre/RS. | Marca comercial: Azoxistrobina Técnico FT-Cropchem. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
Sulphur Mills do Brasil Importação e Exportação de Produtos Agrícolas Ltda. - São Paulo/SP. | Marca comercial: Acetamiprido Técnico Sulphur Mills. | Trata-se de produto técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico.
